cds,ad,adcod,cdscod,trialerror,rn
[G8501R] SCIENZE DELLA FORMAZIONE PRIMARIA,[G8501R023] DIDATTICA DELLA MATEMATICA CON LABORATORIO,G8501R023,G8501R,"0,3175",3
[G8501R] SCIENZE DELLA FORMAZIONE PRIMARIA,[G8501R017] FISICA E DIDATTICA DELLA FISICA CON LABORATORIO,G8501R017,G8501R,"0,3824",2
[G8501R] SCIENZE DELLA FORMAZIONE PRIMARIA,[G8501R012] ISTITUZIONI E DIDATTICA DELLA MATEMATICA CON LABORATORIO,G8501R012,G8501R,"0,8515",1
[H4101D] MEDICINA E CHIRURGIA,[H4101D050] INIBITORI DI PROTEINO KINASI IN ONCOEMATOLOGIA,H4101D050,H4101D,"0,2500",3
[H4101D] MEDICINA E CHIRURGIA,[H4101D143] MALATTIE INFIAMMATORIE INTESTINALI CRONICHE,H4101D143,H4101D,"0,2857",2
[H4101D] MEDICINA E CHIRURGIA,[H4101D130] LO STATO CONFUSIONALE ACUTO (DELIRIUM),H4101D130,H4101D,"0,5000",1
[H4601D] ODONTOIATRIA E PROTESI DENTARIA,[H4601D033] INFORMATICA DI BASE,H4601D033,H4601D,"0,5417",3
[H4601D] ODONTOIATRIA E PROTESI DENTARIA,"[H4601D002] ANATOMIA, ISTOLOGIA ED EMBRIOLOGIA GENERALI E DELL'APPARATO STOMATOGNATICO",H4601D002,H4601D,"0,6471",2
[H4601D] ODONTOIATRIA E PROTESI DENTARIA,[H4601D001] SCIENZE PROPEDEUTICHE,H4601D001,H4601D,"0,7500",1
[I0101D] INFERMIERISTICA (ABILITANTE ALLA PROFESSIONE SANITARIA DI INFERMIERE),[LING] LINGUA INGLESE,LING,I0101D,"0,4516",3
[I0101D] INFERMIERISTICA (ABILITANTE ALLA PROFESSIONE SANITARIA DI INFERMIERE),[I0101D009] METODOLOGIA CLINICA INFERMIERISTICA 1,I0101D009,I0101D,"0,6233",2
[I0101D] INFERMIERISTICA (ABILITANTE ALLA PROFESSIONE SANITARIA DI INFERMIERE),[I0101D001] SCIENZE BIOMEDICHE 1,I0101D001,I0101D,"1,0415",1
[I0102D] OSTETRICIA (ABILITANTE ALLA PROFESSIONE SANITARIA DI OSTETRICA/O),[I0102D903] ANATOMIA E FISIOLOGIA DELLA RIPRODUZIONE UMANA,I0102D903,I0102D,"0,2500",3
[I0102D] OSTETRICIA (ABILITANTE ALLA PROFESSIONE SANITARIA DI OSTETRICA/O),[LING] LINGUA INGLESE,LING,I0102D,"0,3529",2
[I0102D] OSTETRICIA (ABILITANTE ALLA PROFESSIONE SANITARIA DI OSTETRICA/O),[I0102D001] SCIENZE BIOMEDICHE 1,I0102D001,I0102D,"0,5806",1
[I0201D] FISIOTERAPIA (ABILITANTE ALLA PROFESSIONE SANITARIA DI FISIOTERAPISTA),[I0201D101] CINESIOLOGIA,I0201D101,I0201D,"0,3220",3
[I0201D] FISIOTERAPIA (ABILITANTE ALLA PROFESSIONE SANITARIA DI FISIOTERAPISTA),[I0201D121] VALUTAZIONE DEL SISTEMA MOTORIO,I0201D121,I0201D,"0,4310",2
[I0201D] FISIOTERAPIA (ABILITANTE ALLA PROFESSIONE SANITARIA DI FISIOTERAPISTA),[I0201D100] BASI DEL MOVIMENTO,I0201D100,I0201D,"0,7500",1
[I0202D] TERAPIA DELLA NEURO E PSICOMOTRICITÀ DELL'ETÀ EVOLUTIVA (ABILITANTE ALLA PROFESSIONE SANITARIA DI TERAPISTA DELLA NEURO E PSICOMOTRICITÀ DELL'ETÀ EVOLUTIVA),[I0202D118] SCIENZE PSICOMOTORIE E RIABILITATIVE 2,I0202D118,I0202D,"0,4348",3
[I0202D] TERAPIA DELLA NEURO E PSICOMOTRICITÀ DELL'ETÀ EVOLUTIVA (ABILITANTE ALLA PROFESSIONE SANITARIA DI TERAPISTA DELLA NEURO E PSICOMOTRICITÀ DELL'ETÀ EVOLUTIVA),[I0202D101] CINESIOLOGIA,I0202D101,I0202D,"0,5172",2
[I0202D] TERAPIA DELLA NEURO E PSICOMOTRICITÀ DELL'ETÀ EVOLUTIVA (ABILITANTE ALLA PROFESSIONE SANITARIA DI TERAPISTA DELLA NEURO E PSICOMOTRICITÀ DELL'ETÀ EVOLUTIVA),[I0202D121] BASI DEL MOVIMENTO,I0202D121,I0202D,"0,5517",1
[I0301D] IGIENE DENTALE (ABILITANTE ALLA PROFESSIONE SANITARIA DI IGIENISTA DENTALE),[I0301D001] SCIENZE PROPEDEUTICHE,I0301D001,I0301D,"0,6400",3
[I0301D] IGIENE DENTALE (ABILITANTE ALLA PROFESSIONE SANITARIA DI IGIENISTA DENTALE),[I0301D002] SCIENZE BIOMEDICHE,I0301D002,I0301D,"1,1852",2
[I0301D] IGIENE DENTALE (ABILITANTE ALLA PROFESSIONE SANITARIA DI IGIENISTA DENTALE),[I0301D003] ORGANI E FUNZIONI,I0301D003,I0301D,"1,9259",1
[I0302D] TECNICHE DI LABORATORIO BIOMEDICO (ABILITANTE ALLA PROFESSIONE SANITARIA DI TECNICO DI LABORATORIO BIOMEDICO),[I0302D002] SCIENZE BIOMEDICHE,I0302D002,I0302D,"0,9286",3
[I0302D] TECNICHE DI LABORATORIO BIOMEDICO (ABILITANTE ALLA PROFESSIONE SANITARIA DI TECNICO DI LABORATORIO BIOMEDICO),[E3001Q038] CHIMICA,E3001Q038,I0302D,"1,0000",2
[I0302D] TECNICHE DI LABORATORIO BIOMEDICO (ABILITANTE ALLA PROFESSIONE SANITARIA DI TECNICO DI LABORATORIO BIOMEDICO),[I0302D003] ORGANI E FUNZIONI,I0302D003,I0302D,"2,0714",1
"[I0303D] TECNICHE DI RADIOLOGIA MEDICA, PER IMMAGINI E RADIOTERAPIA (ABILITANTE ALLA PROFESSIONE SANITARIA DI TECNICO DI RADIOLOGIA MEDICA, PER IMMAGINI E RADIOTERAPIA )",[LING] LINGUA INGLESE,LING,I0303D,"0,3158",3
"[I0303D] TECNICHE DI RADIOLOGIA MEDICA, PER IMMAGINI E RADIOTERAPIA (ABILITANTE ALLA PROFESSIONE SANITARIA DI TECNICO DI RADIOLOGIA MEDICA, PER IMMAGINI E RADIOTERAPIA )",[I0303D001] SCIENZE PROPEDEUTICHE,I0303D001,I0303D,"0,3182",2
"[I0303D] TECNICHE DI RADIOLOGIA MEDICA, PER IMMAGINI E RADIOTERAPIA (ABILITANTE ALLA PROFESSIONE SANITARIA DI TECNICO DI RADIOLOGIA MEDICA, PER IMMAGINI E RADIOTERAPIA )",[I0303D003] ORGANI E FUNZIONI,I0303D003,I0303D,"1,0833",1
[K0101D] SCIENZE INFERMIERISTICHE E OSTETRICHE,"[K0101D015] INFORMATICA, LIVELLO AVANZATO",K0101D015,K0101D,"0,0714",3
[K0101D] SCIENZE INFERMIERISTICHE E OSTETRICHE,[K0101D002] METODOLOGIA DI ANALISI SOCIO-SANITARIA,K0101D002,K0101D,"0,1379",2
[K0101D] SCIENZE INFERMIERISTICHE E OSTETRICHE,[K0101D014] INGLESE A LIVELLO B2,K0101D014,K0101D,"0,2593",1
